--------------------epoch: 0--------------------
Training start ...
*[Iter]: 000 [Acc@1]: 0.781%  [Acc@5]: 3.125%  [Loss]: 4.75231.
*[Iter]: 001 [Acc@1]: 1.562%  [Acc@5]: 6.250%  [Loss]: 4.68343.
*[Iter]: 002 [Acc@1]: 0.000%  [Acc@5]: 12.500%  [Loss]: 4.46906.
*[Iter]: 003 [Acc@1]: 5.469%  [Acc@5]: 21.875%  [Loss]: 4.25336.
*[Iter]: 004 [Acc@1]: 7.812%  [Acc@5]: 21.094%  [Loss]: 4.21346.
*[Iter]: 005 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 4.12016.
*[Iter]: 006 [Acc@1]: 7.812%  [Acc@5]: 21.094%  [Loss]: 4.20511.
*[Iter]: 007 [Acc@1]: 5.469%  [Acc@5]: 15.625%  [Loss]: 4.35023.
*[Iter]: 008 [Acc@1]: 1.562%  [Acc@5]: 23.438%  [Loss]: 4.19042.
*[Iter]: 009 [Acc@1]: 3.906%  [Acc@5]: 20.312%  [Loss]: 4.17553.
*[Iter]: 010 [Acc@1]: 3.906%  [Acc@5]: 20.312%  [Loss]: 4.31850.
*[Iter]: 011 [Acc@1]: 3.906%  [Acc@5]: 16.406%  [Loss]: 4.12432.
*[Iter]: 012 [Acc@1]: 1.562%  [Acc@5]: 18.750%  [Loss]: 4.23723.
*[Iter]: 013 [Acc@1]: 1.562%  [Acc@5]: 14.062%  [Loss]: 4.33535.
*[Iter]: 014 [Acc@1]: 7.812%  [Acc@5]: 19.531%  [Loss]: 4.00565.
*[Iter]: 015 [Acc@1]: 4.688%  [Acc@5]: 17.969%  [Loss]: 4.37218.
*[Iter]: 016 [Acc@1]: 4.688%  [Acc@5]: 17.188%  [Loss]: 4.29703.
*[Iter]: 017 [Acc@1]: 3.906%  [Acc@5]: 19.531%  [Loss]: 4.35155.
*[Iter]: 018 [Acc@1]: 4.688%  [Acc@5]: 19.531%  [Loss]: 4.10782.
*[Iter]: 019 [Acc@1]: 8.594%  [Acc@5]: 22.656%  [Loss]: 4.18262.
*[Iter]: 020 [Acc@1]: 4.688%  [Acc@5]: 14.062%  [Loss]: 4.42094.
*[Iter]: 021 [Acc@1]: 6.250%  [Acc@5]: 26.562%  [Loss]: 3.98413.
*[Iter]: 022 [Acc@1]: 6.250%  [Acc@5]: 21.094%  [Loss]: 4.30801.
*[Iter]: 023 [Acc@1]: 0.781%  [Acc@5]: 17.188%  [Loss]: 4.17136.
*[Iter]: 024 [Acc@1]: 0.781%  [Acc@5]: 12.500%  [Loss]: 4.35278.
*[Iter]: 025 [Acc@1]: 4.688%  [Acc@5]: 22.656%  [Loss]: 4.16883.
*[Iter]: 026 [Acc@1]: 2.344%  [Acc@5]: 15.625%  [Loss]: 4.23229.
*[Iter]: 027 [Acc@1]: 6.250%  [Acc@5]: 19.531%  [Loss]: 4.19083.
*[Iter]: 028 [Acc@1]: 3.125%  [Acc@5]: 18.750%  [Loss]: 4.35421.
*[Iter]: 029 [Acc@1]: 6.250%  [Acc@5]: 21.875%  [Loss]: 4.18386.
*[Iter]: 030 [Acc@1]: 4.688%  [Acc@5]: 20.312%  [Loss]: 4.24679.
*[Iter]: 031 [Acc@1]: 3.125%  [Acc@5]: 15.625%  [Loss]: 4.43204.
*[Iter]: 032 [Acc@1]: 4.688%  [Acc@5]: 18.750%  [Loss]: 4.09288.
*[Iter]: 033 [Acc@1]: 6.250%  [Acc@5]: 23.438%  [Loss]: 4.20204.
*[Iter]: 034 [Acc@1]: 2.344%  [Acc@5]: 25.000%  [Loss]: 4.14465.
*[Iter]: 035 [Acc@1]: 3.906%  [Acc@5]: 16.406%  [Loss]: 4.24217.
*[Iter]: 036 [Acc@1]: 7.031%  [Acc@5]: 21.094%  [Loss]: 4.20440.
*[Iter]: 037 [Acc@1]: 5.469%  [Acc@5]: 18.750%  [Loss]: 4.16378.
*[Iter]: 038 [Acc@1]: 7.031%  [Acc@5]: 24.219%  [Loss]: 4.14775.
*[Iter]: 039 [Acc@1]: 3.125%  [Acc@5]: 13.281%  [Loss]: 4.27949.
*[Iter]: 040 [Acc@1]: 3.906%  [Acc@5]: 24.219%  [Loss]: 4.08261.
*[Iter]: 041 [Acc@1]: 6.250%  [Acc@5]: 22.656%  [Loss]: 4.07071.
*[Iter]: 042 [Acc@1]: 4.688%  [Acc@5]: 18.750%  [Loss]: 4.17365.
*[Iter]: 043 [Acc@1]: 7.031%  [Acc@5]: 18.750%  [Loss]: 4.21322.
*[Iter]: 044 [Acc@1]: 5.469%  [Acc@5]: 23.438%  [Loss]: 4.16371.
*[Iter]: 045 [Acc@1]: 7.031%  [Acc@5]: 15.625%  [Loss]: 4.34748.
*[Iter]: 046 [Acc@1]: 6.250%  [Acc@5]: 21.094%  [Loss]: 3.99386.
*[Iter]: 047 [Acc@1]: 5.469%  [Acc@5]: 24.219%  [Loss]: 3.96148.
*[Iter]: 048 [Acc@1]: 6.250%  [Acc@5]: 24.219%  [Loss]: 4.08658.
*[Iter]: 049 [Acc@1]: 5.469%  [Acc@5]: 24.219%  [Loss]: 4.19030.
*[Iter]: 050 [Acc@1]: 5.469%  [Acc@5]: 23.438%  [Loss]: 4.07602.
*[Iter]: 051 [Acc@1]: 7.031%  [Acc@5]: 22.656%  [Loss]: 4.17865.
*[Iter]: 052 [Acc@1]: 9.375%  [Acc@5]: 31.250%  [Loss]: 3.96581.
*[Iter]: 053 [Acc@1]: 7.812%  [Acc@5]: 21.094%  [Loss]: 4.07067.
*[Iter]: 054 [Acc@1]: 7.031%  [Acc@5]: 21.875%  [Loss]: 4.07871.
*[Iter]: 055 [Acc@1]: 6.250%  [Acc@5]: 21.875%  [Loss]: 4.09409.
*[Iter]: 056 [Acc@1]: 3.906%  [Acc@5]: 27.344%  [Loss]: 3.97854.
*[Iter]: 057 [Acc@1]: 7.031%  [Acc@5]: 23.438%  [Loss]: 3.95002.
*[Iter]: 058 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 3.98842.
*[Iter]: 059 [Acc@1]: 3.906%  [Acc@5]: 25.000%  [Loss]: 4.15310.
*[Iter]: 060 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.96074.
*[Iter]: 061 [Acc@1]: 7.031%  [Acc@5]: 25.000%  [Loss]: 4.25430.
*[Iter]: 062 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 4.04667.
*[Iter]: 063 [Acc@1]: 14.844%  [Acc@5]: 33.594%  [Loss]: 3.99071.
*[Iter]: 064 [Acc@1]: 3.125%  [Acc@5]: 27.344%  [Loss]: 4.05418.
*[Iter]: 065 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 3.94699.
*[Iter]: 066 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 4.16105.
*[Iter]: 067 [Acc@1]: 5.469%  [Acc@5]: 27.344%  [Loss]: 4.01756.
*[Iter]: 068 [Acc@1]: 5.469%  [Acc@5]: 25.781%  [Loss]: 4.12831.
*[Iter]: 069 [Acc@1]: 5.469%  [Acc@5]: 25.000%  [Loss]: 3.99006.
*[Iter]: 070 [Acc@1]: 4.688%  [Acc@5]: 25.781%  [Loss]: 4.23261.
*[Iter]: 071 [Acc@1]: 7.812%  [Acc@5]: 17.969%  [Loss]: 3.99949.
*[Iter]: 072 [Acc@1]: 11.719%  [Acc@5]: 28.906%  [Loss]: 3.95745.
*[Iter]: 073 [Acc@1]: 8.594%  [Acc@5]: 29.688%  [Loss]: 3.95159.
*[Iter]: 074 [Acc@1]: 6.250%  [Acc@5]: 30.469%  [Loss]: 4.10906.
*[Iter]: 075 [Acc@1]: 7.031%  [Acc@5]: 28.125%  [Loss]: 3.99514.
*[Iter]: 076 [Acc@1]: 9.375%  [Acc@5]: 29.688%  [Loss]: 3.86648.
*[Iter]: 077 [Acc@1]: 10.938%  [Acc@5]: 28.125%  [Loss]: 3.96385.
*[Iter]: 078 [Acc@1]: 7.812%  [Acc@5]: 29.688%  [Loss]: 4.02694.
*[Iter]: 079 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 3.98645.
*[Iter]: 080 [Acc@1]: 7.812%  [Acc@5]: 28.125%  [Loss]: 3.88143.
*[Iter]: 081 [Acc@1]: 10.156%  [Acc@5]: 28.906%  [Loss]: 3.93831.
*[Iter]: 082 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.85534.
*[Iter]: 083 [Acc@1]: 7.812%  [Acc@5]: 25.781%  [Loss]: 3.86093.
*[Iter]: 084 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 4.14987.
*[Iter]: 085 [Acc@1]: 7.031%  [Acc@5]: 25.781%  [Loss]: 3.88619.
*[Iter]: 086 [Acc@1]: 10.156%  [Acc@5]: 31.250%  [Loss]: 3.92417.
*[Iter]: 087 [Acc@1]: 8.594%  [Acc@5]: 22.656%  [Loss]: 4.01440.
*[Iter]: 088 [Acc@1]: 10.938%  [Acc@5]: 25.000%  [Loss]: 3.98569.
*[Iter]: 089 [Acc@1]: 10.938%  [Acc@5]: 24.219%  [Loss]: 3.99354.
*[Iter]: 090 [Acc@1]: 10.938%  [Acc@5]: 30.469%  [Loss]: 3.84772.
*[Iter]: 091 [Acc@1]: 13.281%  [Acc@5]: 34.375%  [Loss]: 3.79938.
*[Iter]: 092 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.91009.
*[Iter]: 093 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 4.09222.
*[Iter]: 094 [Acc@1]: 10.938%  [Acc@5]: 32.812%  [Loss]: 3.82770.
*[Iter]: 095 [Acc@1]: 5.469%  [Acc@5]: 21.875%  [Loss]: 4.07487.
*[Iter]: 096 [Acc@1]: 10.156%  [Acc@5]: 28.125%  [Loss]: 3.89269.
*[Iter]: 097 [Acc@1]: 7.812%  [Acc@5]: 30.469%  [Loss]: 3.81297.
*[Iter]: 098 [Acc@1]: 2.344%  [Acc@5]: 23.438%  [Loss]: 4.03279.
*[Iter]: 099 [Acc@1]: 10.156%  [Acc@5]: 30.469%  [Loss]: 3.82990.
*[Iter]: 100 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 3.92860.
*[Iter]: 101 [Acc@1]: 4.688%  [Acc@5]: 31.250%  [Loss]: 3.83582.
*[Iter]: 102 [Acc@1]: 7.812%  [Acc@5]: 38.281%  [Loss]: 3.78402.
